model,adj_r2,significant_vars,formula
weather_to_Severity,0.028835812730721,39,"Severity ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
weather_to_Traffic Jam Duration,0.028012430909301722,25,"Q(""Traffic Jam Duration"") ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
weather_to_Distance(mi),0.07959614798700054,24,"Q(""Distance(mi)"") ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
weather_to_DelayFromTypicalTraffic(mins),0.028877323239008046,25,"Q(""DelayFromTypicalTraffic(mins)"") ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
weather_to_DelayFromFreeFlowSpeed(mins),0.0017244953892383563,16,"Q(""DelayFromFreeFlowSpeed(mins)"") ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
weather_to_speed_numeric,0.07564539477670851,41,"speed_numeric ~ (Q(""Temperature(F)"") + Q(""WindChill(F)"") + Q(""Humidity(%)"") + Q(""Pressure(in)"") + Q(""WindSpeed(mph)"") + Q(""Precipitation(in)"") + weather_good + weather_bad + weather_neutral + weather_unknown)**2"
traffic_to_Temperature(F),0.1051151522626318,31,"Q(""Temperature(F)"") ~ (Severity + Q(""Traffic Jam Duration"") + Q(""Distance(mi)"") + Q(""DelayFromTypicalTraffic(mins)"") + Q(""DelayFromFreeFlowSpeed(mins)"") + speed_numeric + speed_category)**2"
traffic_to_WindSpeed(mph),0.009969966183644985,26,"Q(""WindSpeed(mph)"") ~ (Severity + Q(""Traffic Jam Duration"") + Q(""Distance(mi)"") + Q(""DelayFromTypicalTraffic(mins)"") + Q(""DelayFromFreeFlowSpeed(mins)"") + speed_numeric + speed_category)**2"
traffic_to_Humidity(%),0.046658590229180064,31,"Q(""Humidity(%)"") ~ (Severity + Q(""Traffic Jam Duration"") + Q(""Distance(mi)"") + Q(""DelayFromTypicalTraffic(mins)"") + Q(""DelayFromFreeFlowSpeed(mins)"") + speed_numeric + speed_category)**2"
traffic_to_Precipitation(in),0.002817269447315751,21,"Q(""Precipitation(in)"") ~ (Severity + Q(""Traffic Jam Duration"") + Q(""Distance(mi)"") + Q(""DelayFromTypicalTraffic(mins)"") + Q(""DelayFromFreeFlowSpeed(mins)"") + speed_numeric + speed_category)**2"
